--------- beginning of system
01-19 02:05:55.196  3516  3516 W StatusBar: 	at com.android.systemui.statusbar.SystemBars.onNoService(SystemBars.java:58)
01-19 02:05:55.196  3516  3516 W StatusBar: 	at com.android.systemui.statusbar.ServiceMonitor.startService(ServiceMonitor.java:230)
01-19 02:05:55.196  3516  3516 W StatusBar: 	at com.android.systemui.statusbar.ServiceMonitor.-wrap5(ServiceMonitor.java)
01-19 02:05:55.196  3516  3516 W StatusBar: 	at com.android.systemui.statusbar.ServiceMonitor$1.handleMessage(ServiceMonitor.java:73)
01-19 02:05:55.196  3516  3516 W StatusBar: 	at android.os.Handler.dispatchMessage(Handler.java:102)
01-19 02:05:55.196  3516  3516 W StatusBar: 	at android.os.Looper.loop(Looper.java:154)
01-19 02:05:55.196  3516  3516 W StatusBar: 	at android.app.ActivityThread.main(ActivityThread.java:6186)
01-19 02:05:55.196  3516  3516 W StatusBar: 	at java.lang.reflect.Method.invoke(Native Method)
01-19 02:05:55.196  3516  3516 W StatusBar: 	at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:889)
01-19 02:05:55.196  3516  3516 W StatusBar: 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:779)
01-19 02:05:55.197  3516  3516 I StatusBar: isKeyguardShowing() called before startKeyguard(), returning true
01-19 02:05:55.198  3516  3516 W StatusBar: isKeyguardSecure() called before startKeyguard(), returning false
01-19 02:05:55.198  3516  3516 W StatusBar: java.lang.Throwable
01-19 02:05:55.198  3516  3516 W StatusBar: 	at com.android.systemui.statusbar.BaseStatusBar.isKeyguardSecure(BaseStatusBar.java:2694)
01-19 02:05:55.198  3516  3516 W StatusBar: 	at com.android.systemui.statusbar.BaseStatusBar.isCameraAllowedByAdmin(BaseStatusBar.java:2717)
01-19 02:05:55.198  3516  3516 W StatusBar: 	at com.android.systemui.statusbar.phone.KeyguardBottomAreaView.updateCameraVisibility(KeyguardBottomAreaView.java:386)
01-19 02:05:55.198  3516  3516 W StatusBar: 	at com.android.systemui.statusbar.phone.KeyguardBottomAreaView.updateRightAffordanceIcon(KeyguardBottomAreaView.java:264)
01-19 02:05:55.198  3516  3516 W StatusBar: 	at com.android.systemui.statusbar.phone.KeyguardBottomAreaView.setUserSetupComplete(KeyguardBottomAreaView.java:335)
01-19 02:05:55.198  3516  3516 W StatusBar: 	at com.android.systemui.statusbar.phone.PhoneStatusBar$2.onChange(PhoneStatusBar.java:557)
01-19 02:05:55.198  3516  3516 W StatusBar: 	at com.android.systemui.statusbar.phone.PhoneStatusBar.resetUserSetupObserver(PhoneStatusBar.java:4033)
01-19 02:05:55.198  3516  3516 W StatusBar: 	at com.android.systemui.statusbar.phone.PhoneStatusBar.makeStatusBarView(PhoneStatusBar.java:1171)
01-19 02:05:55.198  3516  3516 W StatusBar: 	at com.android.systemui.statusbar.phone.PhoneStatusBar.addStatusBarWindow(PhoneStatusBar.java:3770)
01-19 02:05:55.198  3516  3516 W StatusBar: 	at com.android.systemui.statusbar.phone.PhoneStatusBar.createAndAddWindows(PhoneStatusBar.java:3766)
01-19 02:05:55.198  3516  3516 W StatusBar: 	at com.android.systemui.statusbar.BaseStatusBar.start(BaseStatusBar.java:774)
01-19 02:05:55.198  3516  3516 W StatusBar: 	at com.android.systemui.statusbar.phone.PhoneStatusBar.start(PhoneStatusBar.java:806)
01-19 02:05:55.198  3516  3516 W StatusBar: 	at com.android.systemui.statusbar.SystemBars.createStatusBarFromConfig(SystemBars.java:106)
01-19 02:05:55.198  3516  3516 W StatusBar: 	at com.android.systemui.statusbar.SystemBars.onNoService(SystemBars.java:58)
01-19 02:05:55.198  3516  3516 W StatusBar: 	at com.android.systemui.statusbar.ServiceMonitor.startService(ServiceMonitor.java:230)
01-19 02:05:55.198  3516  3516 W StatusBar: 	at com.android.systemui.statusbar.ServiceMonitor.-wrap5(ServiceMonitor.java)
01-19 02:05:55.198  3516  3516 W StatusBar: 	at com.android.systemui.statusbar.ServiceMonitor$1.handleMessage(ServiceMonitor.java:73)
01-19 02:05:55.198  3516  3516 W StatusBar: 	at android.os.Handler.dispatchMessage(Handler.java:102)
01-19 02:05:55.198  3516  3516 W StatusBar: 	at android.os.Looper.loop(Looper.java:154)
01-19 02:05:55.198  3516  3516 W StatusBar: 	at android.app.ActivityThread.main(ActivityThread.java:6186)
01-19 02:05:55.198  3516  3516 W StatusBar: 	at java.lang.reflect.Method.invoke(Native Method)
01-19 02:05:55.198  3516  3516 W StatusBar: 	at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:889)
01-19 02:05:55.198  3516  3516 W StatusBar: 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:779)
01-19 02:05:55.229  3381  3766 I chatty  : uid=1000 system_server expire 4 lines
01-19 02:05:55.245  3381  3534 I chatty  : uid=1000 system_server expire 128 lines
01-19 02:05:55.417  3381  3451 I chatty  : uid=1000 system_server expire 1 line
01-19 02:05:55.598  3381  3532 I chatty  : uid=1000 system_server expire 4 lines
01-19 02:06:01.083  2945  3000 D vold    : e4crypt_prepare_user_storage for volume null, user 0, serial 0, flags 2
01-19 02:06:01.084  2945  3000 D vold    : Preparing: /data/system_ce/0
01-19 02:06:01.084  2945  3000 D vold    : Preparing: /data/misc_ce/0
01-19 02:06:01.084  2945  3000 D vold    : Preparing: /data/media/0
01-19 02:06:01.084  2945  3000 D vold    : Preparing: /data/data
01-19 02:06:01.162  3381  3402 I chatty  : uid=1000 system_server expire 1 line
01-19 02:06:01.163  2945  2999 D vold    : Linking /storage/emulated/0 to /mnt/user/0/primary
01-19 02:06:01.197  3381  4028 I chatty  : uid=1000 system_server expire 2 lines
01-19 02:06:01.292  3381  3799 I chatty  : uid=1000 system_server expire 1 line
01-19 02:06:01.328  3381  4150 I chatty  : uid=1000 system_server expire 3 lines
01-19 02:06:01.419  3381  3765 I chatty  : uid=1000 system_server expire 2 lines
01-19 02:06:01.876  3381  4326 I chatty  : uid=1000 system_server expire 8 lines
01-19 02:06:01.978  3381  4158 I chatty  : uid=1000 system_server expire 1 line
01-19 02:06:01.989  3381  3393 I chatty  : uid=1000 system_server expire 5 lines
01-19 02:06:02.168  3381  4163 I chatty  : uid=1000 system_server expire 1 line
01-19 02:06:02.394  4406  4458 D ActivityThread: Loading provider com.android.email.provider;com.android.email.notifier: com.android.email.provider.EmailProvider
01-19 02:06:02.831  3381  4155 I chatty  : uid=1000 system_server expire 2 lines
01-19 02:06:02.835  3381  4156 I chatty  : uid=1000 system_server expire 2 lines
01-19 02:06:06.044  3381  3400 I chatty  : uid=1000 system_server expire 125 lines
01-19 02:06:11.291  3381  3403 I chatty  : uid=1000 system_server expire 2 lines
01-19 02:06:16.679  3381  3396 I chatty  : uid=1000 system_server expire 4 lines
01-19 02:06:54.799  3381  3381 I chatty  : uid=1000 system_server expire 1 line
01-19 02:06:58.969  3381  3399 I chatty  : uid=1000 system_server expire 4 lines
01-19 02:16:25.794  3381  3400 I chatty  : uid=1000 system_server expire 1 line
01-19 02:16:30.982  3381  3534 I chatty  : uid=1000 system_server expire 2 lines
01-19 02:16:30.985  3381  3400 I chatty  : uid=1000 system_server expire 2 lines
01-19 02:16:40.353  3381  3534 I chatty  : uid=1000 system_server expire 2 lines
01-19 02:16:40.356  3381  3400 I chatty  : uid=1000 system_server expire 2 lines
01-19 02:16:50.743  3381  3534 I chatty  : uid=1000 system_server expire 2 lines
01-19 02:16:50.746  3381  3400 I chatty  : uid=1000 system_server expire 2 lines
01-19 02:17:01.124  3381  3534 I chatty  : uid=1000 system_server expire 2 lines
01-19 02:17:01.127  3381  3400 I chatty  : uid=1000 system_server expire 2 lines
01-19 02:17:10.514  3381  3534 I chatty  : uid=1000 system_server expire 2 lines
01-19 02:17:10.517  3381  3400 I chatty  : uid=1000 system_server expire 2 lines
01-19 02:17:20.909  3381  3534 I chatty  : uid=1000 system_server expire 2 lines
01-19 02:17:20.913  3381  3400 I chatty  : uid=1000 system_server expire 2 lines
01-19 02:17:30.303  3381  3534 I chatty  : uid=1000 system_server expire 2 lines
01-19 02:17:30.307  3381  3400 I chatty  : uid=1000 system_server expire 2 lines
01-19 02:17:40.702  3381  3534 I chatty  : uid=1000 system_server expire 2 lines
01-19 02:17:40.706  3381  3400 I chatty  : uid=1000 system_server expire 2 lines
01-19 02:17:51.089  3381  3534 I chatty  : uid=1000 system_server expire 2 lines
01-19 02:17:51.093  3381  3400 I chatty  : uid=1000 system_server expire 3 lines
01-19 02:18:00.483  3381  3534 I chatty  : uid=1000 system_server expire 3 lines
01-19 02:18:06.248  3381  3400 I chatty  : uid=1000 system_server expire 3 lines
01-19 02:18:15.633  3381  3534 I chatty  : uid=1000 system_server expire 3 lines
01-19 02:18:20.843  3381  3400 I chatty  : uid=1000 system_server expire 3 lines
01-19 02:18:31.226  3381  3534 I chatty  : uid=1000 system_server expire 2 lines
01-19 02:18:35.425  3381  3400 I chatty  : uid=1000 system_server expire 2 lines
01-19 02:18:40.614  3381  3534 I chatty  : uid=1000 system_server expire 3 lines
01-19 02:18:45.823  3381  3400 I chatty  : uid=1000 system_server expire 3 lines
01-19 02:18:56.193  3381  3534 I chatty  : uid=1000 system_server expire 2 lines
01-19 02:19:00.385  3381  3400 I chatty  : uid=1000 system_server expire 2 lines
01-19 02:19:05.575  3381  3534 I chatty  : uid=1000 system_server expire 3 lines
01-19 02:19:10.777  3381  3400 I chatty  : uid=1000 system_server expire 2 lines
01-19 02:19:21.155  3381  3534 I chatty  : uid=1000 system_server expire 2 lines
01-19 02:19:21.158  3381  3400 I chatty  : uid=1000 system_server expire 3 lines
01-19 02:19:30.534  3381  3534 I chatty  : uid=1000 system_server expire 3 lines
01-19 02:19:35.722  3381  3400 I chatty  : uid=1000 system_server expire 2 lines
01-19 02:19:46.105  3381  3534 I chatty  : uid=1000 system_server expire 2 lines
01-19 02:19:46.109  3381  3400 I chatty  : uid=1000 system_server expire 2 lines
01-19 02:19:55.494  3381  3534 I chatty  : uid=1000 system_server expire 2 lines
01-19 02:19:55.498  3381  3400 I chatty  : uid=1000 system_server expire 2 lines
01-19 02:20:05.895  3381  3534 I chatty  : uid=1000 system_server expire 2 lines
01-19 02:20:05.899  3381  3400 I chatty  : uid=1000 system_server expire 2 lines
01-19 02:20:16.284  3381  3534 I chatty  : uid=1000 system_server expire 1 line
01-19 02:20:16.287  3381  3400 I BootReceiver: Copying /data/tombstones/tombstone_04 to DropBox (SYSTEM_TOMBSTONE)
01-19 02:20:20.485  3381  3534 W NativeCrashListener: Couldn't find ProcessRecord for pid 5820
01-19 02:20:20.488  3381  3400 I BootReceiver: Copying /data/tombstones/tombstone_05 to DropBox (SYSTEM_TOMBSTONE)
01-19 02:20:25.674  3381  3534 W NativeCrashListener: Couldn't find ProcessRecord for pid 5828
01-19 02:20:25.677  3381  3400 I BootReceiver: Copying /data/tombstones/tombstone_02 to DropBox (SYSTEM_TOMBSTONE)
01-19 02:20:30.873  3381  3534 W NativeCrashListener: Couldn't find ProcessRecord for pid 5834
01-19 02:20:30.877  3381  3400 I BootReceiver: Copying /data/tombstones/tombstone_00 to DropBox (SYSTEM_TOMBSTONE)
01-19 02:20:36.073  3381  3534 W NativeCrashListener: Couldn't find ProcessRecord for pid 5840
01-19 02:20:36.076  3381  3400 I BootReceiver: Copying /data/tombstones/tombstone_01 to DropBox (SYSTEM_TOMBSTONE)
01-19 02:20:41.264  3381  3534 W NativeCrashListener: Couldn't find ProcessRecord for pid 5846
01-19 02:20:41.267  3381  3400 I BootReceiver: Copying /data/tombstones/tombstone_06 to DropBox (SYSTEM_TOMBSTONE)
01-19 02:20:45.453  3381  3534 W NativeCrashListener: Couldn't find ProcessRecord for pid 5852
01-19 02:20:45.456  3381  3400 I BootReceiver: Copying /data/tombstones/tombstone_07 to DropBox (SYSTEM_TOMBSTONE)
01-19 02:20:50.646  3381  3534 W NativeCrashListener: Couldn't find ProcessRecord for pid 5858
01-19 02:20:50.649  3381  3400 I BootReceiver: Copying /data/tombstones/tombstone_08 to DropBox (SYSTEM_TOMBSTONE)
01-19 02:20:55.844  3381  3534 W NativeCrashListener: Couldn't find ProcessRecord for pid 5865
01-19 02:20:55.847  3381  3400 I BootReceiver: Copying /data/tombstones/tombstone_03 to DropBox (SYSTEM_TOMBSTONE)
01-19 02:21:01.034  3381  3534 W NativeCrashListener: Couldn't find ProcessRecord for pid 5871
01-19 02:21:01.037  3381  3400 I BootReceiver: Copying /data/tombstones/tombstone_09 to DropBox (SYSTEM_TOMBSTONE)
01-19 02:21:06.015  3381  3534 W NativeCrashListener: Couldn't find ProcessRecord for pid 5884
01-19 02:21:06.019  3381  3400 I BootReceiver: Copying /data/tombstones/tombstone_04 to DropBox (SYSTEM_TOMBSTONE)
01-19 02:21:11.207  3381  3534 W NativeCrashListener: Couldn't find ProcessRecord for pid 5890
01-19 02:21:11.210  3381  3400 I BootReceiver: Copying /data/tombstones/tombstone_05 to DropBox (SYSTEM_TOMBSTONE)
01-19 02:21:15.396  3381  3534 W NativeCrashListener: Couldn't find ProcessRecord for pid 5897
01-19 02:21:15.399  3381  3400 I BootReceiver: Copying /data/tombstones/tombstone_02 to DropBox (SYSTEM_TOMBSTONE)
01-19 02:21:20.594  3381  3534 W NativeCrashListener: Couldn't find ProcessRecord for pid 5903
